date,ward,total_patients,new_admissions,discharges,discharge_a,discharge_b,discharge_c,phase_a_count,phase_b_count,phase_c_count,avg_los,notes
2026-03-24,5F,39,2,2,0,1,1,11,18,10,14.5,火曜日 83.0% 空床8床 稼働率低め
2026-03-24,6F,46,2,2,0,0,2,4,12,30,22.5,火曜日 97.9% 残1床 入院制限中
2026-03-25,5F,39,3,3,0,2,1,11,18,10,14.7,水曜日 83.0% 空床8床 稼働率低め
2026-03-25,6F,46,2,2,0,1,1,4,12,30,17.0,水曜日 97.9% 残1床 入院制限中
2026-03-26,5F,39,2,2,0,2,0,11,18,10,7.5,木曜日 83.0% 空床8床 稼働率低め
2026-03-26,6F,47,2,1,0,0,1,4,12,31,17.0,木曜日 100.0% 満床 入院断り発生
2026-03-27,5F,40,3,2,0,2,0,11,18,11,8.0,金曜日 85.1% 空床7床
2026-03-27,6F,44,2,5,0,1,4,4,11,29,19.8,金曜日 93.6% 高稼働 金曜退院集中(5名)
2026-03-28,5F,40,2,2,0,2,0,11,18,11,7.0,土曜日 85.1% 空床7床
2026-03-28,6F,45,1,0,0,0,0,4,11,30,22.0,土曜日 95.7% 満床近い 受入余力なし
2026-03-29,5F,39,1,2,0,1,1,11,18,10,14.0,日曜日 83.0% 空床8床 稼働率低め
2026-03-29,6F,47,2,0,0,0,0,4,12,31,22.0,日曜日 100.0% 満床 入院断り発生
2026-03-30,5F,39,2,2,0,1,1,11,18,10,13.0,月曜日 83.0% 空床8床 稼働率低め
2026-03-30,6F,46,2,3,0,0,3,4,12,30,24.7,月曜日 97.9% 残1床 入院制限中
2026-03-31,5F,39,3,3,0,3,0,11,18,10,9.7,火曜日 83.0% 空床8床 稼働率低め
2026-03-31,6F,47,2,1,0,0,1,4,12,31,17.0,火曜日 100.0% 満床 入院断り発生
